source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD037677-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	20200717_KiZ_EE_IP-Rep_1	proteomic profiling by mass spectrometry	20200717_KiZ_EE_IP-Rep_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD037677/20200717_KiZ_EE_IP-Rep_1.raw	1	1	NT=TMT sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD037677-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	20200717_KiZ_EE_IP-Rep_2	proteomic profiling by mass spectrometry	20200717_KiZ_EE_IP-Rep_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD037677/20200717_KiZ_EE_IP-Rep_2.raw	1	2	NT=TMT sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD037677-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	20200717_KiZ_EE_IP-Rep_3	proteomic profiling by mass spectrometry	20200717_KiZ_EE_IP-Rep_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD037677/20200717_KiZ_EE_IP-Rep_3.raw	1	3	NT=TMT sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
