source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD057811-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	S20795_DUBR	proteomic profiling by mass spectrometry	S20795_DUBR.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057811/S20795_DUBR.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD057811-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	S20793_U1	proteomic profiling by mass spectrometry	S20793_U1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057811/S20793_U1.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD057811-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	S20796_Luciferase	proteomic profiling by mass spectrometry	S20796_Luciferase.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057811/S20796_Luciferase.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
