source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD005389-Sample-1	Homo sapiens	Hct-116 cell	HCT116	epithelial	colorectal cancer	1	HCT116_pulldown_normal_4h_1_1	proteomic profiling by mass spectrometry	HCT116_pulldown_normal_4h_1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD005389/HCT116_pulldown_normal_4h_1_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD005389-Sample-1	Homo sapiens	Hct-116 cell	HCT116	epithelial	colorectal cancer	1	HCT116_pulldown_normal_4h_1_2	proteomic profiling by mass spectrometry	HCT116_pulldown_normal_4h_1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD005389/HCT116_pulldown_normal_4h_1_2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD005389-Sample-1	Homo sapiens	Hct-116 cell	HCT116	epithelial	colorectal cancer	1	HCT116_pulldown_normal_4h_2_1	proteomic profiling by mass spectrometry	HCT116_pulldown_normal_4h_2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD005389/HCT116_pulldown_normal_4h_2_1.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD005389-Sample-1	Homo sapiens	Hct-116 cell	HCT116	epithelial	colorectal cancer	1	HCT116_pulldown_normal_4h_2_2	proteomic profiling by mass spectrometry	HCT116_pulldown_normal_4h_2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD005389/HCT116_pulldown_normal_4h_2_2.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
