id	normalized	templates	n_rows
PXD045388	sandbox/bulk-lfq-dia-small/normalized/PXD045388.sdrf.tsv	ms-proteomics;vertebrates	10
PXD055837	sandbox/bulk-lfq-dia-small/normalized/PXD055837.sdrf.tsv	ms-proteomics;human;dia-acquisition	10
PXD058143	sandbox/bulk-lfq-dia-small/normalized/PXD058143.sdrf.tsv	ms-proteomics	10
PXD039015	sandbox/bulk-lfq-dia-small/normalized/PXD039015.sdrf.tsv	ms-proteomics	11
PXD022713	sandbox/bulk-lfq-dia-small/normalized/PXD022713.sdrf.tsv	ms-proteomics	12
PXD037997	sandbox/bulk-lfq-dia-small/normalized/PXD037997.sdrf.tsv	ms-proteomics;dia-acquisition	12
PXD039574	sandbox/bulk-lfq-dia-small/normalized/PXD039574.sdrf.tsv	ms-proteomics	12
PXD048357	sandbox/bulk-lfq-dia-small/normalized/PXD048357.sdrf.tsv	ms-proteomics;dia-acquisition	12
