id	deposited_file	classification	n_rows	n_columns	n_raw_expected	row_match	has_source_name	has_assay_name	has_data_file	has_template_declaration	missing_core_columns	action
PXD072661	TENT5C.sdrf.tsv	full	6	19	6	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD072838	SDRF_mosaic.tsv	full	12	33	12	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD072867	sdrf_mosaic_wewa001.tsv	full	18	33	18	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD072887	sdrf.tsv	full	18	27	18	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD073022	DEP.sdrf.tsv	full	60	19	60	yes	yes	yes	yes	no	comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD073413	sdrf-human.tsv	full	27	15	27	yes	yes	yes	yes	no	technology type;comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD073452	sample_description.sdrf.txt	full	34	22	34	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD073683	sdrf.tsv	full	80	36	80	yes	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD073686	intermediate_SDRF.sdrf.tsv	full	9	26	9	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD073702	sample_description.sdrf.txt	full	12	20	12	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD074506	SDRF.txt	full	8	6	8	yes	yes	yes	yes	no	technology type;comment[fraction identifier];comment[technical replicate];comment[instrument];comment[label];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD074583	Akk_Proteomics_Study5.PRIDE_ready.RENAMED_for_your_RAWs.sdrf.tsv	full	18	13	18	yes	yes	yes	yes	no	technology type;comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD075718	CE3_2024May16_UIC_P24035.sdrf.tsv	full	9	25	9	yes	yes	yes	yes	no	comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD075756	sdrf.tsv	full	20	15	20	yes	yes	yes	yes	no	technology type;comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD075769	CE3_2024Oct08_P24-162.sdrf.tsv	full	6	26	6	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD075811	CE3_2025Apr04_P25-047.sdrf.tsv	full	10	26	10	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD076440	SDRF.sdrf.tsv	full	32	21	1	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD076605	metadata_LepWed.sdrf.tsv	full	34	24	40	no	yes	yes	yes	no	technology type;comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD078376	sdrf.tsv	full	22	34	22	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD078908	sdrf.tsv	full	55	18	55	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD079300	sdrf.tsv	full	12	16	12	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD080115	sdrf.tsv	full	30	15	30	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD046983	PXD046983.sdrf.tsv	legacy-case	44	27	44	yes	yes	yes	yes	no	comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD057643	SDRF.txt	legacy-case	24	10	24	yes	yes	yes	no	no	characteristics[organism];technology type;comment[data file];comment[technical replicate];comment[instrument];comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD069946	sdrf-plants_BP.tsv	legacy-case	2	15	2	yes	yes	yes	yes	no	comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD070131	SDRF_Proteomis.txt	legacy-case	783	15	261	no	yes	yes	yes	no	technology type;comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD070838	SDRF.tsv	legacy-case	6	15	6	yes	yes	yes	yes	no	technology type;comment[data file];comment[fraction identifier];comment[technical replicate];comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD049062	Depar_sdrf.tsv	partial-technical	12	11	159	no	no	no	yes	no	source name;characteristics[organism];assay name;technology type;comment[sdrf version]	author the sample section from PRIDE and the publication, then validate
PXD054360	Panc1_HLAp_HPH_RP_Library_FragPipe_SDRF.tsv	partial-technical	18	12	36	no	no	no	yes	no	source name;characteristics[organism];assay name;technology type;comment[sdrf version]	author the sample section from PRIDE and the publication, then validate
PXD068623	sdrf.tsv	partial-technical	6	11	6	yes	no	no	yes	no	source name;characteristics[organism];assay name;technology type;comment[sdrf version]	author the sample section from PRIDE and the publication, then validate
PXD070243	SDRF.txt	partial-technical	42	11	42	yes	no	no	yes	no	source name;characteristics[organism];assay name;technology type;comment[sdrf version]	author the sample section from PRIDE and the publication, then validate
PXD073840	sdrf.tsv	partial-technical	6	11	6	yes	no	no	yes	no	source name;characteristics[organism];assay name;technology type;comment[sdrf version]	author the sample section from PRIDE and the publication, then validate
PXD050202	SDRF.txt	not-sdrf	87	2	87	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD052504	SDRF.xlsx	not-sdrf	180	1	30	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD057946	SDRF.csv	not-sdrf	184	1	184	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD058728	SDRF.tsv	not-sdrf	35	10	35	yes	yes	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD066008	SDRF.xlsx	not-sdrf	251	1	42	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD066659	sdrf-fractionation.sdrf.xlsx	not-sdrf	676	1	199	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD066672	sdrf-quantitation.sdrf.xlsx	not-sdrf	416	1	36	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD066686	sdrf-cell-line.sdrf.xlsx	not-sdrf	431	1	279	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD066924	sdrf-titration.sdrf.xlsx	not-sdrf	958	1	141	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD066925	sdrf-90SPD.sdrf.xlsx	not-sdrf	586	1	75	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD066927	sdrf-titration.sdrf.xlsx	not-sdrf	958	1	138	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD066944	TEMP_sdrf-dda-dia.sdrf.xlsx	not-sdrf	558	1	72	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD067317	sdrf-50SPD.sdrf.xlsx	not-sdrf	616	1	24	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD067363	sdrf-50SPD.sdrf.xlsx	not-sdrf	616	1	25	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD067433	sdrf-50SPD.sdrf.xlsx	not-sdrf	616	1	26	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
