id	normalized	templates	n_rows
PXD066496	sandbox/bulk-lfq-dia-small/normalized/PXD066496.sdrf.tsv	ms-proteomics;dia-acquisition	6
PXD072661	sandbox/bulk-lfq-dia-small/normalized/PXD072661.sdrf.tsv	ms-proteomics;vertebrates;dia-acquisition	6
PXD075769	sandbox/bulk-lfq-dia-small/normalized/PXD075769.sdrf.tsv	ms-proteomics;vertebrates	6
PXD068927	sandbox/bulk-lfq-dia-small/normalized/PXD068927.sdrf.tsv	ms-proteomics;human;dia-acquisition	8
PXD071333	sandbox/bulk-lfq-dia-small/normalized/PXD071333.sdrf.tsv	ms-proteomics;human	8
PXD074506	sandbox/bulk-lfq-dia-small/normalized/PXD074506.sdrf.tsv	ms-proteomics;vertebrates;dia-acquisition	8
PXD070054	sandbox/bulk-lfq-dia-small/normalized/PXD070054.sdrf.tsv	ms-proteomics;invertebrates;dia-acquisition	9
PXD073686	sandbox/bulk-lfq-dia-small/normalized/PXD073686.sdrf.tsv	ms-proteomics;vertebrates;dia-acquisition	9
PXD075718	sandbox/bulk-lfq-dia-small/normalized/PXD075718.sdrf.tsv	ms-proteomics;vertebrates	9
PXD047534	sandbox/bulk-lfq-dia-small/normalized/PXD047534.sdrf.tsv	ms-proteomics;dia-acquisition	10
PXD075811	sandbox/bulk-lfq-dia-small/normalized/PXD075811.sdrf.tsv	ms-proteomics;vertebrates	10
PXD063718	sandbox/bulk-lfq-dia-small/normalized/PXD063718.sdrf.tsv	ms-proteomics;dia-acquisition	12
PXD072838	sandbox/bulk-lfq-dia-small/normalized/PXD072838.sdrf.tsv	ms-proteomics;human;dia-acquisition	12
PXD073702	sandbox/bulk-lfq-dia-small/normalized/PXD073702.sdrf.tsv	ms-proteomics;vertebrates	12
PXD079300	sandbox/bulk-lfq-dia-small/normalized/PXD079300.sdrf.tsv	ms-proteomics;vertebrates;dia-acquisition	12
PXD069948	sandbox/bulk-lfq-dia-small/normalized/PXD069948.sdrf.tsv	ms-proteomics;human	15
PXD070157	sandbox/bulk-lfq-dia-small/normalized/PXD070157.sdrf.tsv	ms-proteomics;vertebrates	16
PXD070373	sandbox/bulk-lfq-dia-small/normalized/PXD070373.sdrf.tsv	ms-proteomics	16
PXD039585	sandbox/bulk-lfq-dia-small/normalized/PXD039585.sdrf.tsv	ms-proteomics;vertebrates;dia-acquisition	18
PXD067382	sandbox/bulk-lfq-dia-small/normalized/PXD067382.sdrf.tsv	ms-proteomics;plants;dia-acquisition	18
