id	normalized	templates	n_rows
PXD035795	sandbox/bulk-lfq-dia-small/normalized/PXD035795.sdrf.tsv		6
PXD060055	sandbox/bulk-lfq-dia-small/normalized/PXD060055.sdrf.tsv		6
PXD022725	sandbox/bulk-lfq-dia-small/normalized/PXD022725.sdrf.tsv		4
PXD050316	sandbox/bulk-lfq-dia-small/normalized/PXD050316.sdrf.tsv		5
PXD038835	sandbox/bulk-lfq-dia-small/normalized/PXD038835.sdrf.tsv		4
PXD050008	sandbox/bulk-lfq-dia-small/normalized/PXD050008.sdrf.tsv		4
