id	normalized	templates	n_rows
PXD065274	sandbox/bulk-lfq-dia-small/normalized/PXD065274.sdrf.tsv	ms-proteomics;vertebrates	16
PXD048363	sandbox/bulk-lfq-dia-small/normalized/PXD048363.sdrf.tsv	ms-proteomics;vertebrates	18
PXD063670	sandbox/bulk-lfq-dia-small/normalized/PXD063670.sdrf.tsv	ms-proteomics;human	18
PXD073256	sandbox/bulk-lfq-dia-small/normalized/PXD073256.sdrf.tsv	ms-proteomics;human	18
PXD027813	sandbox/bulk-lfq-dia-small/normalized/PXD027813.sdrf.tsv	ms-proteomics	20
PXD040462	sandbox/bulk-lfq-dia-small/normalized/PXD040462.sdrf.tsv	ms-proteomics	20
