id	normalized	templates	n_rows
PXD059419	sandbox/bulk-lfq-dia-small/normalized/PXD059419.sdrf.tsv	ms-proteomics;human;dia-acquisition	42
PXD046983	sandbox/bulk-lfq-dia-small/normalized/PXD046983.sdrf.tsv	ms-proteomics;vertebrates;dia-acquisition	44
PXD033891	sandbox/bulk-lfq-dia-small/normalized/PXD033891.sdrf.tsv	ms-proteomics;vertebrates;dia-acquisition	60
PXD065321	sandbox/bulk-lfq-dia-small/normalized/PXD065321.sdrf.tsv	ms-proteomics;dia-acquisition	60
PXD056037	sandbox/bulk-lfq-dia-small/normalized/PXD056037.sdrf.tsv	ms-proteomics;human;dia-acquisition	63
PXD054561	sandbox/bulk-lfq-dia-small/normalized/PXD054561.sdrf.tsv	ms-proteomics;vertebrates;dia-acquisition	79
PXD043108	sandbox/bulk-lfq-dia-small/normalized/PXD043108.sdrf.tsv	ms-proteomics;vertebrates;dia-acquisition	100
