id	normalized	templates	n_rows
PXD029669	sandbox/bulk-lfq-dia-small/normalized/PXD029669.sdrf.tsv	ms-proteomics	16
PXD040247	sandbox/bulk-lfq-dia-small/normalized/PXD040247.sdrf.tsv	ms-proteomics	16
PXD043528	sandbox/bulk-lfq-dia-small/normalized/PXD043528.sdrf.tsv	ms-proteomics	16
PXD051889	sandbox/bulk-lfq-dia-small/normalized/PXD051889.sdrf.tsv	ms-proteomics;vertebrates	16
PXD057021	sandbox/bulk-lfq-dia-small/normalized/PXD057021.sdrf.tsv	ms-proteomics;dia-acquisition	16
PXD058465	sandbox/bulk-lfq-dia-small/normalized/PXD058465.sdrf.tsv	ms-proteomics;human;dia-acquisition	16
PXD050553	sandbox/bulk-lfq-dia-small/normalized/PXD050553.sdrf.tsv	ms-proteomics;plants	17
PXD064689	sandbox/bulk-lfq-dia-small/normalized/PXD064689.sdrf.tsv	ms-proteomics;dia-acquisition	17
PXD016336	sandbox/bulk-lfq-dia-small/normalized/PXD016336.sdrf.tsv	ms-proteomics;human	18
