id	normalized	templates	n_rows
PXD070838	sandbox/bulk-lfq-dia-small/normalized/PXD070838.sdrf.tsv	ms-proteomics;dia-acquisition	6
PXD023801	sandbox/bulk-lfq-dia-small/normalized/PXD023801.sdrf.tsv	ms-proteomics	7
PXD039014	sandbox/bulk-lfq-dia-small/normalized/PXD039014.sdrf.tsv	ms-proteomics	8
PXD044798	sandbox/bulk-lfq-dia-small/normalized/PXD044798.sdrf.tsv	ms-proteomics	8
PXD058977	sandbox/bulk-lfq-dia-small/normalized/PXD058977.sdrf.tsv	ms-proteomics	8
PXD061467	sandbox/bulk-lfq-dia-small/normalized/PXD061467.sdrf.tsv	ms-proteomics;human	8
PXD068411	sandbox/bulk-lfq-dia-small/normalized/PXD068411.sdrf.tsv	ms-proteomics;vertebrates	8
PXD074506	sandbox/bulk-lfq-dia-small/normalized/PXD074506.sdrf.tsv	ms-proteomics;vertebrates;dia-acquisition	8
PXD035035	sandbox/bulk-lfq-dia-small/normalized/PXD035035.sdrf.tsv	ms-proteomics;dia-acquisition	9
PXD035553	sandbox/bulk-lfq-dia-small/normalized/PXD035553.sdrf.tsv	ms-proteomics	9
PXD058271	sandbox/bulk-lfq-dia-small/normalized/PXD058271.sdrf.tsv	ms-proteomics	9
PXD061092	sandbox/bulk-lfq-dia-small/normalized/PXD061092.sdrf.tsv	ms-proteomics;human	9
PXD065010	sandbox/bulk-lfq-dia-small/normalized/PXD065010.sdrf.tsv	ms-proteomics	9
PXD070054	sandbox/bulk-lfq-dia-small/normalized/PXD070054.sdrf.tsv	ms-proteomics;invertebrates;dia-acquisition	9
