id	label	reason	evidence	queue	priority_score	organism	n_files_total	n_raw	raw_extensions	acquisition_mode	quant_mode	instruments	has_pride_metadata_file	has_deposited_sdrf	metadata_filenames	design_complexity	estimated_sdrf_rows	templates	publication	already_annotated	notes
PXD008396	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD008396; files/all n=13	Q2	8	Mus musculus (mouse)	13	12	raw	DIA	LFQ	Q Exactive	no	no	ListofDIAidentifiedproteins.xlsx	simple	12	ms-proteomics;vertebrates;dia-acquisition;cell-lines	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD046350	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD046350; files/all n=31	Q2	8	Scyliorhinus canicula	31	12	wiff	DIA	LFQ	TripleTOF 6600	no	no	FM_libPSsolyGel__FDR.xlsx;SpectralLibrarySPZ.txt;CorrelationRawData-Results.xlsx	simple	12	ms-proteomics;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD046839	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD046839; files/all n=13	Q2	8	Arabidopsis thaliana (mouse-ear cress)	13	8	raw	DIA	LFQ	Orbitrap Fusion Lumos	no	no	221215_main_search_5269.tsv;400_850_20W_overlap.txt;221215_main_search_5269.log.txt	simple	8	ms-proteomics;plants;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD046949	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD046949; files/all n=45	Q2	8	Homo sapiens (human)	45	8	raw	DIA	LFQ	Orbitrap Fusion Lumos	no	no	diann-output.stats.tsv;diann-output.tsv;DIANN.R	simple	8	ms-proteomics;human;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD047955	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD047955; files/all n=17	Q2	8	Vespa crabro	17	8	wiff	DIA	LFQ	TripleTOF 6600	no	no	SWATH_Library__FDR.xlsx	simple	8	ms-proteomics;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD048265	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD048265; files/all n=3	Q2	8	Homo sapiens (human)	3	2	raw	DIA	LFQ	Orbitrap Fusion	no	no	20231123_140051_zhangyan_1123_Report.xls	simple	2	ms-proteomics;human;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD048453	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD048453; files/all n=26	Q2	8	Mus musculus (mouse)	26	8	wiff	DIA	LFQ	TripleTOF 6600	no	no	checksum.txt;S210501_02_M1_Mouse__FDR.xlsx;S210501_04_M2C_Mouse__FDR.xlsx	simple	8	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD048613	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD048613; files/all n=8	Q2	8	Mus musculus (mouse)	8	6	raw	DIA	LFQ	Orbitrap Fusion Lumos	no	no	20220820_165438_yiluan_neutrophil_mouse_150min_directdia_20220819_Report.xls	simple	6	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD049373	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD049373; files/all n=17	Q2	8	Homo sapiens (human)	17	5	wiff	DIA	LFQ	TripleTOF 5600+	no	no	checksum.txt;Cell.line.name.to.file.guide.txt	simple	5	ms-proteomics;human;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD051177	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD051177; files/all n=17	Q2	8	Salmonella enterica subsp. enterica serovar typhimurium str. 98346;Salmonella enterica subsp. enterica serovar typhimurium str. lt2-4	17	8	wiff	DIA	LFQ	ZenoTOF 7600	no	no	Z01-12.tsv	simple	8	ms-proteomics;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD051479	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD051479; files/all n=56	Q2	8	Homo sapiens (human)	56	12	wiff	DIA	LFQ	ZenoTOF 7600	no	no	report.log.txt;report.tsv;report-lib.tsv	simple	12	ms-proteomics;human;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD052292	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD052292; files/all n=25	Q2	8	Homo sapiens (human)	25	12	wiff	DIA	LFQ	TripleTOF 6600	no	no	report.pg_matrix.tsv	simple	12	ms-proteomics;human;dia-acquisition;cell-lines	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD052372	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD052372; files/all n=5	Q2	8	Homo sapiens (human)	5	2	raw	DIA	LFQ	Q Exactive	no	no	checksum.txt	simple	2	ms-proteomics;human;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD053975	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD053975; files/all n=9	Q2	8	Mus musculus (mouse)	9	8	raw	DIA	LFQ	Q Exactive	no	no	2108306523838.xlsx	simple	8	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD054068	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD054068; files/all n=16	Q2	8	Rhipicephalus microplus	16	12	raw	DIA	LFQ	Orbitrap Exploris 480	no	no	163_282_2022_MP_orfseq_SFTSV_directDIA_ConditionSetup.tsv;163_282_2022_MP_orfseq_SFTSV_directDIA_Report_Protein_pivot_FP.xls;163_282_2022_MP_orfseq_SFTSV_directDIA_Report_peptide_pivot_FP.xls	simple	12	ms-proteomics;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD054773	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD054773; files/all n=9	Q2	8	Mus musculus (mouse)	9	8	raw	DIA	LFQ	TripleTOF 5600	no	no	proteinGroups.txt	simple	8	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD055191	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD055191; files/all n=8	Q2	8	Homo sapiens (human)	8	6	raw	DIA	LFQ	Orbitrap Astral	no	no	checksum.txt	simple	6	ms-proteomics;human;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD055350	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD055350; files/all n=15	Q2	8	Homo sapiens (human)	15	9	raw	DIA	LFQ	Orbitrap Fusion Lumos	no	no	readme.xlsx;checksum.txt;20240128_205103_VR_Ex46_DLCK1_directDIA_Report.tsv	simple	9	ms-proteomics;human;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD055825	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD055825; files/all n=7	Q2	8	Homo sapiens (human)	7	6	d.zip	DIA	LFQ	timsTOF Pro 2	no	no	report.pr_matrix.tsv	simple	6	ms-proteomics;human;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD055826	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD055826; files/all n=7	Q2	8	Homo sapiens (human)	7	6	d.zip	DIA	LFQ	timsTOF Pro 2	no	no	report.pr_matrix.tsv	simple	6	ms-proteomics;human;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD055855	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD055855; files/all n=11	Q2	8	Saccharomyces cerevisiae (baker's yeast)	11	9	d.zip	DIA	LFQ	timsTOF Pro 2	no	no	20231109_Nov_2023_Merced_Spectronaut_Report.tsv	simple	9	ms-proteomics;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD055873	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD055873; files/all n=18	Q2	8	Homo sapiens (human)	18	12	d.zip	DIA	LFQ	timsTOF Pro	no	no	5816_diaParameters.txt;files_description.txt;output.tsv	simple	12	ms-proteomics;human;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD055900	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD055900; files/all n=13	Q2	8	Homo sapiens (human)	13	12	d.zip	DIA	LFQ	timsTOF Pro 2	no	no	brain_report.pr_matrix.tsv	simple	12	ms-proteomics;human;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD056242	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD056242; files/all n=16	Q2	8	Homo sapiens (human)	16	8	raw	DIA	LFQ	Orbitrap Fusion Lumos	no	no	20240924_191224_dschuster_Report_protein_quant.csv;20240924_191224_dschuster_Report_protein_quant.log.txt;20240924_191224_dschuster_Report_protein_quant.setup.txt	simple	8	ms-proteomics;human;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD056424	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD056424; files/all n=23	Q2	8	Bos taurus (bovine)	23	10	wiff	DIA	LFQ	TripleTOF 6600	no	no	MS_ionLIBRARY_BousTaurus.txt;NormalizedAreas.xlsx;MS_ionLIBRARY_BousTaurus__FDR.xlsx	simple	10	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD056613	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD056613; files/all n=25	Q2	8	Homo sapiens (human)	25	12	wiff	DIA	LFQ	TripleTOF 6600	no	no	SWATH_Library__FDR.xlsx	simple	12	ms-proteomics;human;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD056636	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD056636; files/all n=18	Q2	8	Mus musculus (mouse)	18	8	wiff	DIA	LFQ	TripleTOF 6600	no	no	Original_data_untransformed.tsv;checksum.txt	simple	8	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD057162	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD057162; files/all n=5	Q2	8	Homo sapiens (human)	5	2	d.7z	DIA	LFQ	timsTOF Pro	no	no	report.log.txt;checksum.txt	simple	2	ms-proteomics;human;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD057310	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD057310; files/all n=11	Q2	8	Mus musculus (mouse)	11	10	d.zip	DIA	LFQ	timsTOF Pro	no	no	DIAnn_analysis.zip	simple	10	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
PXD057430	include	Small label-free project; mapping must come from acquisition filenames	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD057430; files/all n=4	Q2	8	Synechococcus sp. (strain atcc 27264 / pcc 7002 / pr-6) (agmenellum quadruplicatum)	4	2	raw	DIA	LFQ	Q Exactive HF	no	no	WT_Flag_IP_CP47.xlsx;0913CF_Flag_IP_CP47.xlsx	simple	2	ms-proteomics;dia-acquisition	none_in_pride	no	Verify filename tokens resolve condition and replicate before annotating
