id	label	reason	evidence	queue	priority_score	organism	n_files_total	n_raw	raw_extensions	acquisition_mode	quant_mode	instruments	has_pride_metadata_file	has_deposited_sdrf	metadata_filenames	design_complexity	estimated_sdrf_rows	templates	publication	already_annotated	notes
PXD048381	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD048381; files/all n=13	Q0	10	Bos taurus (bovine)	13	3	raw	DDA	LFQ	Q Exactive HF-X	yes	yes	SDRF.csv	simple	3	ms-proteomics;vertebrates	none_in_pride	no	deposited: SDRF.csv
PXD041759	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD041759; files/all n=10	Q0	10	Vicia faba var. minor	10	6	raw	DDA	LFQ	Orbitrap Fusion Lumos	yes	yes	SDRF_Muhovski_et_al_final.docx	simple	6	ms-proteomics	none_in_pride	no	deposited: SDRF_Muhovski_et_al_final.docx
PXD052817	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD052817; files/all n=23	Q0	10	Homo sapiens (human)	23	6	raw	DDA	LFQ	Orbitrap Fusion Lumos	yes	yes	SDRF.txt	simple	6	ms-proteomics;human	none_in_pride	no	deposited: SDRF.txt
PXD066589	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD066589; files/all n=19	Q0	10	Gallus gallus (chicken)	19	6	raw	DDA	LFQ	Q Exactive	yes	yes	SDRF.tsv	simple	6	ms-proteomics;vertebrates	none_in_pride	no	deposited: SDRF.tsv
PXD068623	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD068623; files/all n=131	Q0	10	Mycobacterium tuberculosis	131	6	raw	DIA	LFQ	Orbitrap Fusion	yes	yes	sdrf.tsv	simple	6	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: sdrf.tsv
PXD069676	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD069676; files/all n=15	Q0	10	Homo sapiens (human)	15	6	raw	DIA	LFQ	LTQ Orbitrap Elite;Orbitrap Astral	yes	yes	SDRFics.txt	simple	6	ms-proteomics;human;dia-acquisition	none_in_pride	no	deposited: SDRFics.txt
PXD039580	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD039580; files/all n=12	Q0	8	Homo sapiens (human)	12	6	raw	DIA	TMT/iTRAQ/SILAC	Q Exactive HF	yes	yes	sdrf-silac_Hela_SILAC_benchmark_DDA.txt	simple	6	ms-proteomics;human;dia-acquisition	none_in_pride	no	deposited: sdrf-silac_Hela_SILAC_benchmark_DDA.txt
PXD045388	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD045388; files/all n=15	Q0	10	Mus musculus (mouse)	15	10	raw	DDA	LFQ	Q Exactive	yes	yes	sdrf.tsv	simple	10	ms-proteomics;vertebrates	none_in_pride	no	deposited: sdrf.tsv
PXD055837	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD055837; files/all n=13	Q0	10	Homo sapiens (human)	13	10	raw	DIA	LFQ	Orbitrap Fusion Lumos	yes	yes	PXD055837.sdrf.tsv	simple	10	ms-proteomics;human;dia-acquisition	none_in_pride	no	deposited: PXD055837.sdrf.tsv
PXD058044	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD058044; files/all n=12	Q0	10	Mus musculus (mouse)	12	10	raw	DIA	LFQ	Orbitrap Exploris 480	yes	yes	SDRF_proteomics_metadata.xlsx	simple	10	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	deposited: SDRF_proteomics_metadata.xlsx
