id	label	reason	evidence	queue	priority_score	organism	n_files_total	n_raw	raw_extensions	acquisition_mode	quant_mode	instruments	has_pride_metadata_file	has_deposited_sdrf	metadata_filenames	design_complexity	estimated_sdrf_rows	templates	publication	already_annotated	notes
PXD059015	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD059015; files/all n=10	Q3	6	Homo sapiens (human)	10	0		DIA	LFQ	timsTOF HT	yes	no	metadata.txt	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	1 archive(s); inspect the FTP listing before annotating
PXD059319	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD059319; files/all n=17	Q3	6	Ornithodoros sp. ajm-2011b	17	0		DIA	LFQ	Q Exactive HF	yes	no	annotation_allprotein.xls;sample_relationship.xls	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	3 archive(s); inspect the FTP listing before annotating
PXD059899	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD059899; files/all n=7	Q3	6	Homo sapiens (human)	7	0		DIA	LFQ	timsTOF HT	yes	no	metadata.txt	simple	0	ms-proteomics;human;dia-acquisition;cell-lines	none_in_pride	no	1 archive(s); inspect the FTP listing before annotating
PXD060229	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD060229; files/all n=6	Q3	6	Mus musculus (mouse)	6	0		DIA	LFQ	timsTOF HT	yes	no	Sample_Table.xlsx	simple	0	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD061129	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD061129; files/all n=4	Q3	6	Homo sapiens (human)	4	0		DIA	LFQ	timsTOF HT	yes	no	samples.xlsx	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	1 archive(s); inspect the FTP listing before annotating
PXD061887	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD061887; files/all n=4	Q3	6	Mus musculus (mouse)	4	0		DIA	LFQ	timsTOF Pro 2	yes	no	samples.xlsx	simple	0	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	1 archive(s); inspect the FTP listing before annotating
PXD062198	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD062198; files/all n=13	Q3	6	Mus musculus (mouse)	13	0		DIA	LFQ	timsTOF HT	yes	no	metadata-all.csv	simple	0	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	7 archive(s); inspect the FTP listing before annotating
PXD063539	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD063539; files/all n=15	Q3	6	Homo sapiens (human)	15	0		DIA	LFQ	timsTOF SCP	yes	no	OuterEpidermis_DIANN181_MBR.stats_deidentified.tsv;Metadata_PsoLayers_Moeller_et_al.csv;Subcutis_DIANN181_MBR.stats_deidentified.tsv	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	5 archive(s); inspect the FTP listing before annotating
PXD064529	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD064529; files/all n=9	Q3	6	Homo sapiens (human)	9	0		DIA	LFQ	Orbitrap Fusion Lumos;timsTOF HT	yes	no	all_metadata_phospho.txt;metadata_abundance.txt	simple	0	ms-proteomics;human;dia-acquisition;cell-lines	none_in_pride	no	3 archive(s); inspect the FTP listing before annotating
PXD064562	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD064562; files/all n=208	Q3	6	Saccharomyces cerevisiae (baker's yeast)	208	0		DIA	LFQ	ZenoTOF 7600	yes	no	20220509_Z2_KTT_104_30-0056_JM-ScHumanizedTelomeres_P02_Sample-17.wiff2.dia;20220701_Z2_KTT_064_30-0056_JM-ScHumanizedTelomeres_P01_Sample-36.wiff2.dia;20220509_Z2_KTT_081_30-0056_JM-ScHumanizedTelomeres_P02_Sample-90.wiff2.dia	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	1 archive(s); inspect the FTP listing before annotating
