source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD038420-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	21P1446_16	proteomic profiling by mass spectrometry	21P1446_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/05/PXD038420/21P1446_16.raw	1	1	NT=iTRAQ sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD038420-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	21P1446_8	proteomic profiling by mass spectrometry	21P1446_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/05/PXD038420/21P1446_8.raw	1	2	NT=iTRAQ sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD038420-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	21P1446_11	proteomic profiling by mass spectrometry	21P1446_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/05/PXD038420/21P1446_11.raw	1	3	NT=iTRAQ sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD038420-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	21P1446_12	proteomic profiling by mass spectrometry	21P1446_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/05/PXD038420/21P1446_12.raw	1	4	NT=iTRAQ sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD038420-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	21P1446_15	proteomic profiling by mass spectrometry	21P1446_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/05/PXD038420/21P1446_15.raw	1	5	NT=iTRAQ sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD038420-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	21P1446_17	proteomic profiling by mass spectrometry	21P1446_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/05/PXD038420/21P1446_17.raw	1	6	NT=iTRAQ sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD038420-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	21P1446_2	proteomic profiling by mass spectrometry	21P1446_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/05/PXD038420/21P1446_2.raw	1	7	NT=iTRAQ sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD038420-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	21P1446_4	proteomic profiling by mass spectrometry	21P1446_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/05/PXD038420/21P1446_4.raw	1	8	NT=iTRAQ sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD038420-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	21P1446_3	proteomic profiling by mass spectrometry	21P1446_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/05/PXD038420/21P1446_3.raw	1	9	NT=iTRAQ sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD038420-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	21P1446_19	proteomic profiling by mass spectrometry	21P1446_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/05/PXD038420/21P1446_19.raw	1	10	NT=iTRAQ sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
