accession	tier	evidence_fields	publicationDate	doi	raw_file_count	selected_raw_count	selection_mode	local_status_before	draft_status	title	note
PXD005389	title-hit	title|sampleProcessingProtocol	2017-06-02	10.6019/PXD005389	4	4	hct-filtered	missing	sandbox_draft_created_validated	Targeting the Scaffold Protein Plectin by an Organometallic as a Strategy to Inhibit Tumour Invasiveness- whole cell lysate of HCT 116 epithelial cells, plestatins-3 normal pull down 4h	
PXD037677	title-hit	title|keywords	2023-07-31		3	3	all-raw	missing	sandbox_draft_created_validated	HUWE1 interaction partners in HCT116 cells (TMT)	
PXD057811	title-hit	title|projectDescription|sampleProcessingProtocol|keywords	2025-05-07		3	3	all-raw	missing	sandbox_draft_created_validated	ncRNA DUBR RAP-MS in HCT116 cells	
PXD029131	title-hit	title|sampleProcessingProtocol|keywords	2022-02-28		1	1	all-raw	missing	sandbox_draft_created_validated	MS to detect peptides of human HCT116 cell lysate immunoprecipitated by anti-miPEP31	
PXD055202	title-hit	title|projectDescription|keywords	2024-10-31	10.6019/PXD055202	1	1	hct-filtered	missing	sandbox_draft_created_validated	Determining changes in the immunopeptidome of HCT116 cells after treamtent with hypoxia	
PXD055205	title-hit	title|projectDescription|keywords	2024-11-04	10.6019/PXD055205	1	1	hct-filtered	missing	sandbox_draft_created_validated	Determining changes in the immunopeptidome of HCT116 cells after treamtent with hypoxia	
PXD035301	title-hit	title|projectDescription|sampleProcessingProtocol	2023-01-17		0			missing	catalog_only	Comparative analyses of the N-glycoproteomes in HCT116 cancer cells and their non-tumorigenic DNMT1/3b double knockout (DKO1) cells and insight into the Mannose-6-phosphate pathway	no raw-like files in PRIDE file list
PXD040784	title-hit	title	2023-10-11		0			missing	catalog_only	Library for human cell lines (U2OS, 293, HCT116 and Hela)	no raw-like files in PRIDE file list
PXD045918	title-hit	title|projectDescription|sampleProcessingProtocol|keywords	2024-01-26		0			missing	catalog_only	Identification of YqfB enzyme expressed in colorectal cancer cell line HCT116 using LC-MS/MS proteomics	no raw-like files in PRIDE file list
PXD051250	title-hit	title|projectDescription	2026-02-04		0			missing	catalog_only	Exploring The Impact of Two Novel DNA Minor Groove Binders on HCT-116 Cells: A Comprehensive Multi-Omics Analysis Using Mass Spectrometry	no raw-like files in PRIDE file list
PXD053036	title-hit	title|projectDescription|sampleProcessingProtocol|keywords	2025-08-30		0			missing	catalog_only	Shotgun proteomics experiments to identify covalent modification of proteins in HCT116 cells by a novel covalent ligand, CL16	no raw-like files in PRIDE file list
PXD053041	title-hit	title|projectDescription|sampleProcessingProtocol|keywords	2025-08-30		0			missing	catalog_only	Protein target identification of CL16 in HCT116 cells by an alkyne probe, CL16-alkyne	no raw-like files in PRIDE file list
PXD061295	title-hit	title|sampleProcessingProtocol|keywords	2025-04-28	10.6019/PXD061295	0			missing	catalog_only	Affinity proteomics on PEX1 and PEX1-G843D in HCT116 Cells	no raw-like files in PRIDE file list
PXD063241	title-hit	title|projectDescription	2025-07-16		0			missing	catalog_only	HCT116-TGTA-proteomic profiling	no raw-like files in PRIDE file list
PXD042258	description-hit	projectDescription|sampleProcessingProtocol	2024-10-17		522			missing	catalog_only	In depth mapping of DNA-PKcs and ATM kinase signaling responses to double strand breaks.	
PXD037155	description-hit	projectDescription	2025-07-17		288			missing	catalog_only	Lineage-specific oncogenes drive growth of major forms of human cancer using common downstream mechanisms	
PXD051747	description-hit	projectDescription|sampleProcessingProtocol	2024-04-29	10.6019/PXD051747	253			missing	catalog_only	Quantitative proteome profiling of parental cell lines used in the RESOLUTE project (https://re-solute.eu).	
PXD016549	description-hit	projectDescription|sampleProcessingProtocol|keywords	2019-12-03		120			missing	catalog_only	Extensive Rewiring of the EGFR Network in Colorectal Cancer Cells Expressing Transforming Levels of KRASG13D	
PXD042967	description-hit	projectDescription	2024-08-10		120			missing	catalog_only	Multifaceted proteome analysis at solubility, redox, and expression dimensions for target identification	
PXD050987	description-hit	projectDescription	2024-08-10		111			missing	catalog_only	FAS Inhibited Proteomics and Phosphoproteomics Profiling of Colorectal Cancer Spheroids shows Activation of Ferroptotic Death Mechanism	
PXD057205	description-hit	projectDescription|keywords	2025-05-07		109			missing	catalog_only	Mass-spectrometry analysis of secretome and extracellular vesicles derived from lung and colorectal cell lines	
PXD007686	description-hit	projectDescription	2018-03-28		90			missing	catalog_only	Comparative proteomics of dying and surviving cancer cells improves the identification of drug targets and sheds light on cell life/death decisions	
