source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD075291-Sample-1	Homo sapiens	Colon	HCT116	epithelial	colorectal cancer	1	2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_1	proteomic profiling by mass spectrometry	2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD075291/2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD075291-Sample-1	Homo sapiens	Colon	HCT116	epithelial	colorectal cancer	1	2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_3	proteomic profiling by mass spectrometry	2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD075291/2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_3.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD075291-Sample-1	Homo sapiens	Colon	HCT116	epithelial	colorectal cancer	1	2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_3	proteomic profiling by mass spectrometry	2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD075291/2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD075291-Sample-1	Homo sapiens	Colon	HCT116	epithelial	colorectal cancer	1	2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_2	proteomic profiling by mass spectrometry	2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD075291/2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_2.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD075291-Sample-1	Homo sapiens	Colon	HCT116	epithelial	colorectal cancer	1	2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_1	proteomic profiling by mass spectrometry	2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD075291/2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_1.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD075291-Sample-1	Homo sapiens	Colon	HCT116	epithelial	colorectal cancer	1	2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_2	proteomic profiling by mass spectrometry	2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD075291/2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_2.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
