source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD015828-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	20170510_Joshi_9121	proteomic profiling by mass spectrometry	20170510_Joshi_9121.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015828/20170510_Joshi_9121.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD015828-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	20170510_Joshi_9119	proteomic profiling by mass spectrometry	20170510_Joshi_9119.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015828/20170510_Joshi_9119.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD015828-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	20170510_Joshi_9125	proteomic profiling by mass spectrometry	20170510_Joshi_9125.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015828/20170510_Joshi_9125.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD015828-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	20170510_Joshi_9127	proteomic profiling by mass spectrometry	20170510_Joshi_9127.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015828/20170510_Joshi_9127.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD015828-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	20170510_Joshi_9122	proteomic profiling by mass spectrometry	20170510_Joshi_9122.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015828/20170510_Joshi_9122.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD015828-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	20170510_Joshi_9124	proteomic profiling by mass spectrometry	20170510_Joshi_9124.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015828/20170510_Joshi_9124.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD015828-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	20170510_Joshi_9128	proteomic profiling by mass spectrometry	20170510_Joshi_9128.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015828/20170510_Joshi_9128.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD015828-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	20170510_Joshi_9129	proteomic profiling by mass spectrometry	20170510_Joshi_9129.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015828/20170510_Joshi_9129.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD015828-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	20170510_Joshi_9123	proteomic profiling by mass spectrometry	20170510_Joshi_9123.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015828/20170510_Joshi_9123.raw	1	9	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD015828-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	20170510_Joshi_9126	proteomic profiling by mass spectrometry	20170510_Joshi_9126.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015828/20170510_Joshi_9126.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
