source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD075307-Sample-1	Homo sapiens	Colon	HCT116	epithelial	colorectal cancer	1	111718_HCT116_L-DMSO_H-1uM-LF-268_1hr_Phospho_tech2	proteomic profiling by mass spectrometry	111718_HCT116_L-DMSO_H-1uM-LF-268_1hr_Phospho_tech2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD075307/111718_HCT116_L-DMSO_H-1uM-LF-268_1hr_Phospho_tech2.raw	1	1	NT=SILAC sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD075307-Sample-1	Homo sapiens	Colon	HCT116	epithelial	colorectal cancer	1	111718_HCT116_L1-1uM-LF-268_1hr_H1-DMSO_Phospho_tech2	proteomic profiling by mass spectrometry	111718_HCT116_L1-1uM-LF-268_1hr_H1-DMSO_Phospho_tech2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD075307/111718_HCT116_L1-1uM-LF-268_1hr_H1-DMSO_Phospho_tech2.raw	1	2	NT=SILAC sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD075307-Sample-1	Homo sapiens	Colon	HCT116	epithelial	colorectal cancer	1	111718_HCT116_L-DMSO_H-1uM-LF-268_1hr_Phospho_tech1	proteomic profiling by mass spectrometry	111718_HCT116_L-DMSO_H-1uM-LF-268_1hr_Phospho_tech1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD075307/111718_HCT116_L-DMSO_H-1uM-LF-268_1hr_Phospho_tech1.raw	1	3	NT=SILAC sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD075307-Sample-1	Homo sapiens	Colon	HCT116	epithelial	colorectal cancer	1	111718_HCT116_L2-1uM-LF-268_1hr_H2-DMSO_Phospho_tech2	proteomic profiling by mass spectrometry	111718_HCT116_L2-1uM-LF-268_1hr_H2-DMSO_Phospho_tech2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD075307/111718_HCT116_L2-1uM-LF-268_1hr_H2-DMSO_Phospho_tech2.raw	1	4	NT=SILAC sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD075307-Sample-1	Homo sapiens	Colon	HCT116	epithelial	colorectal cancer	1	111718_HCT116_L1-1uM-LF-268_1hr_H1-DMSO_Phospho_tech1	proteomic profiling by mass spectrometry	111718_HCT116_L1-1uM-LF-268_1hr_H1-DMSO_Phospho_tech1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD075307/111718_HCT116_L1-1uM-LF-268_1hr_H1-DMSO_Phospho_tech1.raw	1	5	NT=SILAC sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD075307-Sample-1	Homo sapiens	Colon	HCT116	epithelial	colorectal cancer	1	111718_HCT116_L2-1uM-LF-268_1hr_H2-DMSO_Phospho_tech1	proteomic profiling by mass spectrometry	111718_HCT116_L2-1uM-LF-268_1hr_H2-DMSO_Phospho_tech1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD075307/111718_HCT116_L2-1uM-LF-268_1hr_H2-DMSO_Phospho_tech1.raw	1	6	NT=SILAC sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
