source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD034854-Sample-1	Homo sapiens	colon	HCT116	epithelial	colorectal cancer	1	Seq63370_QE2	proteomic profiling by mass spectrometry	Seq63370_QE2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD034854/Seq63370_QE2.raw	1	1	NT=dimethyl labeled sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD034854-Sample-1	Homo sapiens	colon	HCT116	epithelial	colorectal cancer	1	Seq63366_QE2	proteomic profiling by mass spectrometry	Seq63366_QE2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD034854/Seq63366_QE2.raw	1	2	NT=dimethyl labeled sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD034854-Sample-1	Homo sapiens	colon	HCT116	epithelial	colorectal cancer	1	Seq63364_QE2	proteomic profiling by mass spectrometry	Seq63364_QE2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD034854/Seq63364_QE2.raw	1	3	NT=dimethyl labeled sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD034854-Sample-1	Homo sapiens	colon	HCT116	epithelial	colorectal cancer	1	Seq63362_QE2	proteomic profiling by mass spectrometry	Seq63362_QE2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD034854/Seq63362_QE2.raw	1	4	NT=dimethyl labeled sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD034854-Sample-1	Homo sapiens	colon	HCT116	epithelial	colorectal cancer	1	Seq63371_QE2	proteomic profiling by mass spectrometry	Seq63371_QE2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD034854/Seq63371_QE2.raw	1	5	NT=dimethyl labeled sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD034854-Sample-1	Homo sapiens	colon	HCT116	epithelial	colorectal cancer	1	Seq63365_QE2	proteomic profiling by mass spectrometry	Seq63365_QE2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD034854/Seq63365_QE2.raw	1	6	NT=dimethyl labeled sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD034854-Sample-1	Homo sapiens	colon	HCT116	epithelial	colorectal cancer	1	Seq63372_QE2	proteomic profiling by mass spectrometry	Seq63372_QE2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD034854/Seq63372_QE2.raw	1	7	NT=dimethyl labeled sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD034854-Sample-1	Homo sapiens	colon	HCT116	epithelial	colorectal cancer	1	Seq63368_QE2	proteomic profiling by mass spectrometry	Seq63368_QE2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD034854/Seq63368_QE2.raw	1	8	NT=dimethyl labeled sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD034854-Sample-1	Homo sapiens	colon	HCT116	epithelial	colorectal cancer	1	Seq63363_QE2	proteomic profiling by mass spectrometry	Seq63363_QE2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD034854/Seq63363_QE2.raw	1	9	NT=dimethyl labeled sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD034854-Sample-1	Homo sapiens	colon	HCT116	epithelial	colorectal cancer	1	Seq63369_QE2	proteomic profiling by mass spectrometry	Seq63369_QE2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD034854/Seq63369_QE2.raw	1	10	NT=dimethyl labeled sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
